id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8
'07261,St_mary_VC,2023-07-12 19:20:20,2023-07-12 20:36:35,4575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07341,St_mary_VC_parking,2023-07-12 17:15:13,2023-07-12 17:37:28,1335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07461,St_mary_VC_parking,2023-07-12 19:52:48,2023-07-12 21:50:33,7065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09191,St_mary_campground,2023-07-16 14:02:29,2023-07-17 02:17:14,44085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10091,St_mary_VC_parking,2023-07-16 09:59:24,2023-07-16 10:03:39,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10231,St_mary_VC_parking,2023-07-19 06:10:34,2023-07-19 09:46:03,12929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10241,St_mary_VC_parking,2023-07-16 09:59:26,2023-07-16 10:03:41,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12011,St_mary_VC_parking,2023-07-21 16:06:54,2023-07-21 17:17:54,4125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12091,St_mary_VC_parking,2023-07-21 09:07:04,2023-07-21 09:09:49,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12151,St_mary_VC_parking,2023-07-21 09:48:51,2023-07-21 22:49:49,17608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12301,St_mary_VC_parking,2023-07-21 16:16:58,2023-07-22 01:02:16,31518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12401,St_mary_VC,2023-07-22 01:23:07,2023-07-22 01:28:52,345.0,St_mary_VC_parking,2023-07-22 01:49:07,2023-07-22 03:15:37,5190.0,,,,,,,,,,,,,,,,,,,,,,,,
'12501,St_mary_VC_parking,2023-07-21 13:39:57,2023-07-21 17:58:42,15525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12521,St_mary_VC_parking,2023-07-21 08:08:19,2023-07-22 01:37:50,14102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
