ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'02461,"('Logan_pass_parking',)",11010.0,2023-07-05 08:19:37,2023-07-05 11:23:07,183.5
'02471,"('Logan_pass_parking',)",210.0,2023-07-05 10:54:05,2023-07-05 10:57:35,3.5
'02481,"('Logan_pass_parking',)",150.0,2023-07-05 10:45:11,2023-07-05 10:47:41,2.5
'02551,"('Logan_pass_parking',)",240.0,2023-07-05 10:53:54,2023-07-05 10:57:54,4.0
'03031,"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",5805.0,2023-07-06 13:00:26,2023-07-06 14:51:26,111.0
'03101,"('Hidden_lake_overlook', 'Logan_pass_VC')",4665.0,2023-07-06 12:42:17,2023-07-06 14:03:02,80.75
'03201,"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",5035.0,2023-07-06 16:26:09,2023-07-06 17:54:19,88.16666666666667
'03311,"('Logan_pass_parking', 'Loop_highline_grinnell_glac')",3825.0,2023-07-05 08:08:36,2023-07-05 09:26:06,77.5
'03471,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')",7110.0,2023-07-06 16:19:58,2023-07-06 18:21:28,121.5
'0355,"('Hidden_lake_overlook', 'Logan_pass_parking')",2303.0,2023-07-12 17:44:46,2023-07-12 18:30:24,45.63333333333333
'03551,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')",11610.0,2023-07-06 12:01:16,2023-07-06 16:14:16,253.0
'04051,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",5356.0,2023-07-07 16:54:30,2023-07-07 18:48:30,114.0
'04301,"('Logan_pass_parking',)",3390.0,2023-07-05 09:41:25,2023-07-05 14:28:55,287.5
'05071,"('Logan_pass_parking',)",8790.0,2023-07-10 11:42:29,2023-07-10 14:08:59,146.5
'05081,"('Logan_pass_parking',)",9030.0,2023-07-10 10:24:08,2023-07-10 12:54:38,150.5
'05091,"('Logan_pass_parking', 'Loop_highline_grinnell_glac')",840.0,2023-07-10 11:59:55,2023-07-10 12:45:40,45.75
'05121,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",8490.0,2023-07-10 14:17:43,2023-07-10 16:44:58,147.25
'05141,"('Logan_pass_parking',)",2595.0,2023-07-10 14:15:41,2023-07-10 14:58:56,43.25
'05171,"('Logan_pass_parking',)",1410.0,2023-07-10 11:31:23,2023-07-10 11:54:53,23.5
'05221,"('Logan_pass_VC', 'Logan_pass_parking')",3030.0,2023-07-11 11:49:01,2023-07-11 12:47:31,58.5
'05231,"('Logan_pass_parking',)",6510.0,2023-07-10 10:57:22,2023-07-10 12:45:52,108.5
'05251,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",8415.0,2023-07-10 09:31:32,2023-07-10 12:41:17,189.75
