Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'04051""]",1,[5356.0],['2023-07-07 16:54:30'],['2023-07-07 18:48:30'],[114.0]
"('Loop_highline_grinnell_glac', 'Logan_pass_parking')","[""'05091""]",1,[840.0],['2023-07-10 11:59:55'],['2023-07-10 12:45:40'],[45.75]
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_parking')","[""'05121"", ""'05511"", ""'10391"", ""'14521"", ""'17081"", ""'25331""]",6,"[8490.0, 8445.0, 6300.0, 2340.0, 5970.0, 7890.0]","['2023-07-10 14:17:43', '2023-07-10 14:35:08', '2023-07-18 18:38:05', '2023-07-26 18:38:44', '2023-07-31 16:27:00', '2023-08-08 13:00:05']","['2023-07-10 16:44:58', '2023-07-10 17:00:08', '2023-07-18 20:26:35', '2023-07-26 19:22:44', '2023-07-31 18:25:30', '2023-08-08 16:21:35']","[147.25, 145.0, 108.5, 44.0, 118.5, 201.5]"
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac')","[""'05251""]",1,[8415.0],['2023-07-10 09:31:32'],['2023-07-10 12:41:17'],[189.75]
"('Loop_highline_grinnell_glac',)","[""'05291"", ""'06421"", ""'15161"", ""'19541"", ""'22151""]",5,"[26010.0, 22303.0, 28695.0, 2910.0, 42150.0]","['2023-07-10 08:50:03', '2023-07-11 13:23:17', '2023-07-27 11:25:02', '2023-08-01 09:43:08', '2023-08-01 12:12:15']","['2023-07-10 16:03:33', '2023-07-11 19:35:00', '2023-07-27 19:36:17', '2023-08-01 10:32:08', '2023-08-01 23:54:45']","[433.5, 371.71666666666664, 491.25, 49.0, 702.5]"
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'05461""]",1,[6656.0],['2023-07-10 09:22:51'],['2023-07-10 11:43:17'],[140.43333333333334]
"('Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'05541"", ""'09381"", ""'23541""]",3,"[7440.0, 6615.0, 4801.0]","['2023-07-10 10:07:51', '2023-07-16 09:55:59', '2023-08-06 09:13:50']","['2023-07-10 14:14:09', '2023-07-16 12:24:14', '2023-08-06 14:12:05']","[246.3, 148.25, 298.25]"
"('Logan_pass_parking', 'Oberlin_climbing', 'Logan_pass_parking')","[""'07101""]",1,[7185.0],['2023-07-12 16:08:25'],['2023-07-12 18:14:25'],[126.0]
"('Logan_pass_parking', 'Hidden_lake_overlook')","[""'07181""]",1,[3990.0],['2023-07-12 16:51:36'],['2023-07-12 17:59:51'],[68.25]
"('Shuttle_Logan_pass',)","[""'08231""]",1,[255.0],['2023-07-14 17:13:38'],['2023-07-14 17:17:53'],[4.25]
"('Logan_pass_parking', 'Logan_pass_VC', 'Oberlin_climbing', 'Logan_pass_parking')","[""'10471""]",1,[10110.0],['2023-07-18 18:42:24'],['2023-07-18 21:41:09'],[178.75]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'12011"", ""'22401""]",2,"[13351.0, 21151.0]","['2023-07-21 09:27:09', '2023-08-06 08:56:28']","['2023-07-21 13:33:09', '2023-08-06 15:03:59']","[246.0, 367.51666666666665]"
"('Shuttle_Logan_pass', 'Loop_highline_grinnell_glac')","[""'12021"", ""'18151"", ""'23511"", ""'25281""]",4,"[62445.0, 48885.0, 60615.0, 20865.0]","['2023-07-21 09:11:19', '2023-08-01 09:07:00', '2023-08-06 07:58:02', '2023-08-08 13:52:32']","['2023-07-22 02:32:49', '2023-08-01 23:54:45', '2023-08-07 00:56:47', '2023-08-08 19:45:32']","[1041.5, 887.75, 1018.75, 353.0]"
"('Logan_pass_VC',)","[""'12031""]",1,[31425.0],['2023-07-21 09:29:32'],['2023-07-21 19:11:35'],[582.05]
"('Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'12151"", ""'12521""]",2,"[720.0, 1155.0]","['2023-07-21 10:36:36', '2023-07-21 08:58:49']","['2023-07-21 17:20:36', '2023-07-21 16:09:49']","[404.0, 431.0]"
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'12161""]",1,[3541.0],['2023-07-21 11:14:49'],['2023-07-21 14:52:20'],[217.51666666666668]
"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')","[""'12251""]",1,[21692.0],['2023-07-21 08:59:59'],['2023-07-21 15:10:32'],[370.55]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'12301""]",1,[13216.0],['2023-07-21 11:39:28'],['2023-07-21 15:33:13'],[233.75]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'12501""]",1,[7575.0],['2023-07-21 09:02:42'],['2023-07-21 11:23:27'],[140.75]
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'13041"", ""'19241"", ""'21381"", ""'23011""]",4,"[5670.0, 3240.0, 8296.0, 10320.0]","['2023-07-24 11:54:03', '2023-08-01 11:23:00', '2023-08-03 10:35:07', '2023-08-06 10:25:12']","['2023-07-24 13:34:03', '2023-08-01 12:27:34', '2023-08-03 13:16:52', '2023-08-06 13:21:57']","[100.0, 64.56666666666666, 161.75, 176.75]"
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_VC', 'Logan_pass_parking')","[""'13231""]",1,[30435.0],['2023-07-24 10:44:42'],['2023-07-24 19:49:27'],[544.75]
"('Shuttle_Logan_pass', 'Logan_pass_parking')","[""'13241"", ""'22471""]",2,"[360.0, 2940.0]","['2023-07-24 11:51:26', '2023-08-06 08:56:20']","['2023-07-24 11:57:26', '2023-08-06 09:45:35']","[6.0, 49.25]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'13381""]",1,[10305.0],['2023-07-24 09:13:23'],['2023-07-24 17:39:44'],[506.35]
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'13511""]",1,[15930.0],['2023-07-24 09:13:41'],['2023-07-24 13:53:11'],[279.5]
"('Logan_pass_parking', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Logan_pass_parking')","[""'14191""]",1,[4259.0],['2023-07-26 16:35:32'],['2023-07-26 18:41:47'],[126.25]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'14431""]",1,[9509.0],['2023-07-26 18:10:52'],['2023-07-26 21:09:52'],[179.0]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'15091""]",1,[10470.0],['2023-07-27 12:19:15'],['2023-07-27 15:16:15'],[177.0]
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'15251""]",1,[11632.0],['2023-07-27 11:35:42'],['2023-07-27 15:03:43'],[208.01666666666668]
"('Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'15321""]",1,[2460.0],['2023-07-27 13:44:15'],['2023-07-27 14:51:30'],[67.25]
"('Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'15532""]",1,[2820.0],['2023-07-27 12:36:02'],['2023-07-27 17:35:47'],[299.75]
"('Logan_pass_parking', 'Logan_pass_VC', 'Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'16181""]",1,[6510.0],['2023-07-31 17:57:49'],['2023-07-31 19:53:34'],[115.75]
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'17531""]",1,[3450.0],['2023-07-31 18:23:25'],['2023-07-31 20:49:25'],[146.0]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Logan_pass_parking')","[""'18131""]",1,[18000.0],['2023-08-01 09:06:44'],['2023-08-01 14:09:14'],[302.5]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'19011"", ""'21231""]",2,"[8730.0, 10501.0]","['2023-08-01 12:09:05', '2023-08-03 09:54:20']","['2023-08-01 17:02:05', '2023-08-03 12:46:35']","[293.0, 172.25]"
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'19021""]",1,[11161.0],['2023-08-01 09:55:44'],['2023-08-01 13:08:14'],[192.5]
"('Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'19311""]",1,[2824.0],['2023-08-01 12:01:53'],['2023-08-01 17:05:02'],[303.15]
"('Logan_pass_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_parking')","[""'20071""]",1,[6855.0],['2023-08-02 17:35:32'],['2023-08-02 19:41:02'],[125.5]
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'21141""]",1,[13636.0],['2023-08-03 08:12:16'],['2023-08-03 12:14:31'],[242.25]
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'21341""]",1,[5865.0],['2023-08-03 13:05:40'],['2023-08-03 14:55:55'],[110.25]
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'22091""]",1,[12480.0],['2023-08-06 10:34:10'],['2023-08-06 14:08:10'],[214.0]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'23071""]",1,[1485.0],['2023-08-06 09:46:54'],['2023-08-06 13:33:09'],[226.25]
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'23141""]",1,[8024.0],['2023-08-06 11:26:17'],['2023-08-06 15:10:32'],[224.25]
"('Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'23171""]",1,[9195.0],['2023-08-06 11:27:15'],['2023-08-06 14:47:30'],[200.25]
"('Logan_pass_VC', 'Shuttle_Logan_pass')","[""'23201""]",1,[2460.0],['2023-08-06 12:08:50'],['2023-08-06 14:58:05'],[169.25]
"('Hidden_lake_trail',)","[""'23281""]",1,[7050.0],['2023-08-06 09:46:36'],['2023-08-06 11:44:06'],[117.5]
"('Shuttle_Logan_pass', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Logan_pass_parking')","[""'23341""]",1,[17281.0],['2023-08-06 10:23:22'],['2023-08-06 15:19:53'],[296.51666666666665]
"('Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'23441""]",1,[11100.0],['2023-08-06 08:49:50'],['2023-08-06 12:08:50'],[199.0]
"('Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'24171""]",1,[584.0],['2023-08-07 08:58:18'],['2023-08-07 09:04:03'],[5.75]
"('Shuttle_Logan_pass', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'24321""]",1,[8655.0],['2023-08-07 11:33:04'],['2023-08-07 14:00:04'],[147.0]
"('Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'24481""]",1,[13365.0],['2023-08-07 11:26:18'],['2023-08-07 16:08:18'],[282.0]
"('Loop_highline_grinnell_glac', 'Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Shuttle_Logan_pass', 'Logan_pass_parking')","[""'24541""]",1,[18539.0],['2023-08-07 10:28:25'],['2023-08-07 16:03:40'],[335.25]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Logan_pass_VC', 'Logan_pass_parking')","[""'25041""]",1,[16943.0],['2023-08-08 12:14:38'],['2023-08-08 17:16:01'],[301.3833333333333]
