Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan', 'Loop', 'Apgar')","[""'0355"", ""'20081""]",2,"[2738.0, 16859.0]","['2023-07-12 17:44:46', '2023-08-02 12:50:07']","['2023-07-12 20:35:09', '2023-08-03 05:19:22']","[170.38333333333333, 989.25]"
"('RisingSun', 'Logan', 'SunPoint')","[""'03551""]",1,[11910.0],['2023-07-06 11:28:16'],['2023-07-06 16:41:46'],[313.5]
"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop')","[""'04051""]",1,[8025.0],['2023-07-07 15:39:45'],['2023-07-07 19:33:15'],[233.5]
"('Apgar', 'SunPoint')","[""'05011""]",1,[825.0],['2023-07-10 09:07:28'],['2023-07-10 12:07:02'],[179.56666666666666]
"('Logan', 'LakeMcDonald')","[""'05071""]",1,[16995.0],['2023-07-10 11:42:29'],['2023-07-10 18:40:29'],[418.0]
"('Logan', 'Apgar')","[""'05081"", ""'05221"", ""'07161"", ""'14081"", ""'14191"", ""'14421"", ""'16011"", ""'16181"", ""'17041""]",9,"[9210.0, 4878.0, 1860.0, 33013.0, 5384.0, 2415.0, 1350.0, 29280.0, 29025.0]","['2023-07-10 10:24:08', '2023-07-11 11:49:01', '2023-07-12 16:44:37', '2023-07-26 17:16:51', '2023-07-26 16:35:32', '2023-07-26 17:27:46', '2023-07-30 18:43:52', '2023-07-31 17:57:49', '2023-07-31 16:06:06']","['2023-07-10 18:54:19', '2023-07-11 15:12:46', '2023-07-12 18:38:37', '2023-07-27 03:55:19', '2023-07-26 20:09:32', '2023-07-26 21:32:31', '2023-07-30 20:58:52', '2023-08-01 06:02:04', '2023-08-01 06:09:36']","[510.18333333333334, 203.75, 114.0, 638.4666666666667, 214.0, 244.75, 135.0, 724.25, 843.5]"
"('Avalanche', 'Loop', 'Logan', 'Loop', 'Logan')","[""'05091""]",1,[2864.0],['2023-07-10 09:05:40'],['2023-07-10 12:45:40'],[220.0]
"('Apgar', 'LakeMcDonald', 'Logan')","[""'05121""]",1,[12518.0],['2023-07-10 08:38:05'],['2023-07-10 16:44:58'],[486.8833333333333]
"('Avalanche', 'Loop', 'StMary', 'Waterfalls', 'SunPoint', 'Apgar')","[""'05131""]",1,[9975.0],['2023-07-10 07:58:20'],['2023-07-10 17:05:50'],[547.5]
"('LakeMcDonald', 'Avalanche', 'Loop', 'Logan', 'Apgar')","[""'05141""]",1,[10581.0],['2023-07-10 09:48:07'],['2023-07-10 17:06:28'],[438.35]
"('Apgar', 'Logan', 'LakeMcDonald', 'Apgar')","[""'05171""]",1,[11655.0],['2023-07-10 09:12:38'],['2023-07-10 16:03:23'],[410.75]
"('Apgar', 'Loop', 'Logan')","[""'05231"", ""'06131"", ""'10081"", ""'16021""]",4,"[8340.0, 1710.0, 2670.0, 2100.0]","['2023-07-10 08:22:37', '2023-07-11 11:32:45', '2023-07-18 16:40:23', '2023-07-30 16:01:40']","['2023-07-10 12:45:52', '2023-07-11 13:18:15', '2023-07-18 19:52:53', '2023-07-30 17:58:55']","[263.25, 105.5, 192.5, 117.25]"
"('Logan', 'RisingSun')","[""'05261"", ""'13511"", ""'17131""]",3,"[2040.0, 16050.0, 10185.0]","['2023-07-10 09:36:29', '2023-07-24 09:13:41', '2023-07-31 16:14:18']","['2023-07-10 15:23:59', '2023-07-24 14:25:26', '2023-08-01 07:41:18']","[347.5, 311.75, 927.0]"
"('Loop', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')","[""'05291""]",1,[30690.0],['2023-07-10 08:18:48'],['2023-07-10 17:03:48'],[525.0]
"('SunPoint', 'Waterfalls', 'SunPoint', 'StMary', 'Logan', 'Avalanche')","[""'05341""]",1,[6389.0],['2023-07-10 11:35:03'],['2023-07-10 15:48:47'],[253.73333333333332]
"('Loop', 'Logan')","[""'05361"", ""'16501""]",2,"[8130.0, 1335.0]","['2023-07-10 07:53:31', '2023-07-30 18:27:24']","['2023-07-10 10:40:46', '2023-07-30 19:25:39']","[167.25, 58.25]"
"('Waterfalls', 'Logan')","[""'05511"", ""'14541""]",2,"[18809.0, 4440.0]","['2023-07-10 10:47:08', '2023-07-26 16:47:17']","['2023-07-10 17:00:08', '2023-07-26 18:46:06']","[373.0, 118.81666666666666]"
"('Apgar', 'LakeMcDonald', 'Logan', 'StMary', 'Waterfalls', 'Logan', 'Waterfalls', 'Apgar')","[""'05541""]",1,[13853.0],['2023-07-10 08:19:54'],['2023-07-10 17:11:36'],[531.7]
"('Apgar', 'LakeMcDonald', 'StMary')","[""'06021""]",1,[2685.0],['2023-07-11 11:13:46'],['2023-07-11 13:58:16'],[164.5]
"('Avalanche', 'Loop', 'Logan', 'Avalanche')","[""'06041""]",1,[10740.0],['2023-07-11 11:39:04'],['2023-07-11 16:29:04'],[290.0]
"('Avalanche', 'Logan', 'SunPoint', 'StMary')","[""'06061""]",1,[1143.0],['2023-07-11 10:48:26'],['2023-07-11 12:43:29'],[115.05]
"('LakeMcDonald', 'Avalanche', 'Logan')","[""'06111"", ""'06451"", ""'15321"", ""'24231""]",4,"[675.0, 5610.0, 6480.0, 10135.0]","['2023-07-11 11:56:32', '2023-07-11 10:49:27', '2023-07-27 12:15:15', '2023-08-07 09:59:51']","['2023-07-11 13:56:32', '2023-07-11 13:59:57', '2023-07-27 14:51:30', '2023-08-07 13:04:47']","[120.0, 190.5, 156.25, 184.93333333333334]"
"('LakeMcDonald',)","[""'06151"", ""'07361"", ""'1313"", ""'15291"", ""'16261"", ""'16471"", ""'20181"", ""'23521"", ""'25141"", ""'27341""]",10,"[345.0, 50928.0, 6702.0, 13413.0, 2325.0, 8625.0, 12045.0, 5260.0, 7479.0, 750.0]","['2023-07-11 11:48:49', '2023-07-12 17:15:20', '2023-07-26 18:00:23', '2023-07-27 12:46:04', '2023-07-30 17:18:02', '2023-07-30 17:19:54', '2023-08-02 13:02:38', '2023-08-06 15:29:13', '2023-08-08 13:53:53', '2023-08-08 12:55:53']","['2023-07-11 11:54:34', '2023-07-13 09:29:08', '2023-07-26 19:54:49', '2023-07-27 15:46:22', '2023-07-30 17:57:47', '2023-07-30 18:34:24', '2023-08-02 19:24:53', '2023-08-06 16:56:53', '2023-08-08 15:48:10', '2023-08-08 13:08:23']","[5.75, 973.8, 114.43333333333334, 180.3, 39.75, 74.5, 382.25, 87.66666666666667, 114.28333333333333, 12.5]"
"('Apgar', 'LakeMcDonald')","[""'06171"", ""'16521"", ""'25161"", ""'25311""]",4,"[14365.0, 1635.0, 5248.0, 8456.0]","['2023-07-11 10:13:10', '2023-07-30 16:48:45', '2023-08-08 12:26:19', '2023-08-08 11:32:38']","['2023-07-11 16:40:49', '2023-07-30 18:22:15', '2023-08-08 15:27:00', '2023-08-08 15:34:33']","[387.65, 93.5, 180.68333333333334, 241.91666666666666]"
"('Apgar', 'Avalanche', 'Loop', 'Waterfalls')","[""'06181""]",1,[4296.0],['2023-07-11 11:11:22'],['2023-07-11 15:46:33'],[275.18333333333334]
"('Avalanche', 'SunPoint', 'Logan')","[""'06301""]",1,[28868.0],['2023-07-10 07:44:32'],['2023-07-10 18:08:10'],[623.6333333333333]
"('LakeMcDonald', 'RisingSun')","[""'06381""]",1,[5325.0],['2023-07-11 11:38:51'],['2023-07-11 15:01:59'],[203.13333333333333]
"('Avalanche', 'Loop', 'Logan')","[""'06421""]",1,[24659.0],['2023-07-11 12:12:47'],['2023-07-11 19:35:00'],[442.21666666666664]
"('LakeMcDonald', 'Avalanche', 'Loop', 'Logan', 'RisingSun')","[""'06441""]",1,[20250.0],['2023-07-11 11:42:59'],['2023-07-11 20:27:29'],[524.5]
"('Logan', 'Avalanche', 'Apgar')","[""'06511""]",1,[2760.0],['2023-07-12 17:48:29'],['2023-07-12 21:08:14'],[199.75]
"('Apgar', 'LakeMcDonald', 'Logan', 'LakeMcDonald')","[""'06521""]",1,[15256.0],['2023-07-11 10:27:22'],['2023-07-11 18:00:32'],[453.1666666666667]
