id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13
'05091,Loop_highline_grinnell_glac,2023-07-10 11:59:55,2023-07-10 12:04:25,270.0,Logan_pass_parking,2023-07-10 12:36:10,2023-07-10 12:45:40,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05121,Logan_pass_parking,2023-07-10 14:17:43,2023-07-10 14:24:58,435.0,Logan_pass_VC,2023-07-10 14:25:28,2023-07-10 14:36:58,690.0,Hidden_lake_overlook,2023-07-10 14:38:13,2023-07-10 16:34:58,7005.0,Logan_pass_parking,2023-07-10 16:38:58,2023-07-10 16:44:58,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05141,Logan_pass_parking,2023-07-10 14:15:41,2023-07-10 14:58:56,2595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05171,Logan_pass_parking,2023-07-10 11:31:23,2023-07-10 11:54:53,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05221,Logan_pass_parking,2023-07-11 11:49:01,2023-07-11 12:25:01,2160.0,Logan_pass_VC,2023-07-11 12:25:31,2023-07-11 12:37:46,735.0,Logan_pass_parking,2023-07-11 12:45:16,2023-07-11 12:47:31,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05231,Logan_pass_parking,2023-07-10 10:57:22,2023-07-10 12:45:52,6510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05251,Logan_pass_parking,2023-07-10 09:31:32,2023-07-10 09:54:02,1350.0,Hidden_lake_overlook,2023-07-10 10:37:02,2023-07-10 12:22:17,6315.0,Logan_pass_VC,2023-07-10 12:26:17,2023-07-10 12:36:17,600.0,Loop_highline_grinnell_glac,2023-07-10 12:38:47,2023-07-10 12:41:17,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05261,Logan_pass_parking,2023-07-10 09:36:29,2023-07-10 09:38:29,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05291,Loop_highline_grinnell_glac,2023-07-10 08:50:03,2023-07-10 16:03:33,26010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05341,Logan_pass_parking,2023-07-10 14:24:24,2023-07-10 14:26:24,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05361,Logan_pass_parking,2023-07-10 08:24:31,2023-07-10 08:28:31,240.0,Logan_pass_parking,2023-07-10 08:28:46,2023-07-10 08:45:16,990.0,Logan_pass_VC,2023-07-10 08:46:46,2023-07-10 08:49:16,150.0,Hidden_lake_overlook,2023-07-10 08:53:16,2023-07-10 10:25:31,5535.0,Logan_pass_VC,2023-07-10 10:26:31,2023-07-10 10:35:16,525.0,Logan_pass_parking,2023-07-10 10:36:16,2023-07-10 10:40:46,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05451,Logan_pass_parking,2023-07-05 09:05:23,2023-07-05 09:12:38,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
