ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'02441,"('Big_bend', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country', 'Trail_of_Cedars')",22350.0,2023-07-05 09:05:54,2023-07-05 17:05:24,479.5
'02451,"('Logan_pass_parking', 'Lunch_creek_parking', 'Rising_sun_picnic_area', 'St_mary_VC_parking', 'Sun_point_parking')",7126.0,2023-07-05 09:05:23,2023-07-05 12:04:53,179.5
'02461,"('Avalanche_parking', 'Logan_pass_parking')",15120.0,2023-07-05 08:19:37,2023-07-05 15:27:22,427.75
'02471,"('Baring_falls_trail', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country', 'Red_rock', 'Shuttle_Sun_point', 'StMary_falls_trail', 'St_mary_falls_parking', 'Sun_point_parking')",12151.0,2023-07-05 08:33:35,2023-07-05 16:07:05,453.5
'02481,"('Lake_macdonald_lodge', 'Logan_pass_parking', 'Loop_parking', 'Oberlin_bend')",2731.0,2023-07-05 08:51:24,2023-07-05 10:47:41,116.28333333333333
'02501,"('Big_bend', 'Siyeh_bend_trail')",23670.0,2023-07-05 08:44:16,2023-07-05 16:34:31,470.25
'02511,"('Apgar_VC_parking', 'Apgar_campground', 'Apgar_village')",20265.0,2023-07-05 07:40:56,2023-07-05 14:04:11,383.25
'02521,"('Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')",32835.0,2023-07-05 08:28:16,2023-07-05 20:34:41,726.4166666666666
'02531,"('Apgar_campground', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars')",7980.0,2023-07-05 08:15:22,2023-07-06 01:09:49,1014.45
'02541,"('Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')",19922.0,2023-07-05 08:11:34,2023-07-05 16:17:36,486.03333333333336
'02551,"('Avalanche_parking', 'Baring_falls_trail', 'Logan_pass_parking', 'Rising_sun', 'Rising_sun_boat_dock', 'Shuttle_Avalanche', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars')",48269.0,2023-07-05 09:27:54,2023-07-06 02:10:09,1002.25
'03031,"('Jackson_glac_overlook', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Shuttle_Rising_Sun', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'St_mary_VC_parking', 'Viriginia_falls_trail')",16755.0,2023-07-06 11:43:11,2023-07-06 19:01:56,438.75
'03041,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",11475.0,2023-07-05 07:56:04,2023-07-05 14:06:34,370.5
'03101,"('Hidden_lake_overlook', 'Logan_pass_VC')",4665.0,2023-07-06 12:42:17,2023-07-06 14:03:02,80.75
'03131,"('Siyeh_bend_trail',)",4305.0,2023-07-05 10:43:34,2023-07-05 11:55:19,71.75
'03161,"('Rising_sun_boat_dock', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'St_mary_VC_parking', 'Sun_point_parking', 'Viriginia_falls_trail')",12276.0,2023-07-06 10:38:00,2023-07-06 15:05:36,267.6
'03191,"('Many_glacier_trail', 'St_mary_VC', 'St_mary_VC_parking')",23170.0,2023-07-06 12:07:51,2023-07-06 19:21:16,433.4166666666667
'03201,"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')",13210.0,2023-07-06 12:49:39,2023-07-06 17:54:19,304.6666666666667
'03311,"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Lunch_creek_parking', 'Many_glacier_trail')",48973.0,2023-07-05 08:08:36,2023-07-06 01:08:34,1019.9666666666667
'03411,"('Rising_sun_boat_dock', 'Shuttle_Rising_Sun', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')",5444.0,2023-07-06 12:58:01,2023-07-06 15:17:16,139.25
'03471,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')",14781.0,2023-07-06 13:12:22,2023-07-06 18:21:28,309.1
'0355,"('Apgar_VC_parking', 'Hidden_lake_overlook', 'Logan_pass_parking', 'Loop_parking', 'Red_rock')",3533.0,2023-07-12 17:44:46,2023-07-12 20:35:09,170.38333333333333
'03551,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Sun_point_parking')",11910.0,2023-07-06 11:28:16,2023-07-06 16:41:46,313.5
'04051,"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')",8025.0,2023-07-07 15:39:45,2023-07-07 19:33:15,233.5
'04301,"('Apgar_village', 'Big_bend', 'Logan_pass_parking', 'Loop_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",20400.0,2023-07-05 09:08:10,2023-07-05 15:42:10,394.0
'05011,"('Apgar_VC_parking', 'Big_bend', 'Sun_point_parking')",1620.0,2023-07-10 09:07:28,2023-07-10 12:07:02,179.56666666666666
'05041,"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')",9150.0,2023-07-10 07:57:06,2023-07-10 10:49:21,172.25
'05071,"('Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country')",18375.0,2023-07-10 11:01:59,2023-07-10 18:40:29,458.5
