id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23,location_24,enter_time_24,exit_time_24,duration_24,location_25,enter_time_25,exit_time_25,duration_25,location_26,enter_time_26,exit_time_26,duration_26,location_27,enter_time_27,exit_time_27,duration_27,location_28,enter_time_28,exit_time_28,duration_28
'02191,Logan,2023-07-05 09:10:58,2023-07-05 13:50:58,15555.0,Waterfalls,2023-07-05 15:02:58,2023-07-05 16:21:43,3105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02201,Avalanche,2023-07-05 08:13:14,2023-07-05 13:00:29,16560.0,Logan,2023-07-05 14:47:14,2023-07-05 14:51:14,240.0,Waterfalls,2023-07-05 15:30:59,2023-07-05 15:37:44,405.0,SunPoint,2023-07-05 16:02:44,2023-07-05 16:31:29,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02211,Avalanche,2023-07-05 07:56:45,2023-07-05 12:46:30,17490.0,Apgar,2023-07-05 13:17:00,2023-07-05 14:09:45,3090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02221,Avalanche,2023-07-05 07:58:54,2023-07-05 12:10:54,14820.0,Logan,2023-07-05 12:50:54,2023-07-05 15:46:24,10485.0,Avalanche,2023-07-05 16:32:08,2023-07-05 16:36:38,390.0,Apgar,2023-07-05 17:08:08,2023-07-05 23:56:20,7402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02231,Avalanche,2023-07-05 07:45:43,2023-07-05 12:47:58,3465.0,Apgar,2023-07-05 13:16:58,2023-07-05 16:49:43,2910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02241,RisingSun,2023-07-05 09:55:39,2023-07-05 10:50:09,1830.0,Waterfalls,2023-07-05 11:38:24,2023-07-05 11:54:39,975.0,RisingSun,2023-07-05 12:35:54,2023-07-05 13:36:54,3570.0,Logan,2023-07-05 14:03:39,2023-07-05 16:23:09,6420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02251,Apgar,2023-07-05 09:04:44,2023-07-05 13:23:14,15405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02271,Apgar,2023-07-05 07:14:43,2023-07-05 08:01:56,2683.0,Logan,2023-07-05 09:13:41,2023-07-05 16:22:08,24751.0,Loop,2023-07-05 16:24:53,2023-07-05 16:59:51,1753.0,Avalanche,2023-07-05 17:04:06,2023-07-05 17:15:51,1260.0,LakeMcDonald,2023-07-05 17:27:06,2023-07-05 17:29:51,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02281,Avalanche,2023-07-05 07:53:02,2023-07-05 12:46:47,17325.0,Apgar,2023-07-05 15:12:17,2023-07-05 15:25:17,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02291,Apgar,2023-07-05 07:13:58,2023-07-05 08:01:58,2865.0,Logan,2023-07-05 09:13:42,2023-07-05 16:15:43,24856.0,Loop,2023-07-05 16:19:42,2023-07-05 16:48:13,1711.0,Avalanche,2023-07-05 17:04:09,2023-07-05 17:15:39,1230.0,LakeMcDonald,2023-07-05 17:26:54,2023-07-05 17:29:54,180.0,Apgar,2023-07-05 22:01:41,2023-07-05 23:01:26,1305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
