ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'15501,"('Apgar_VC',)",6930.0,2023-07-27 20:21:19,2023-07-28 02:18:19,357.0
'15532,"('Apgar_VC',)",540.0,2023-07-28 02:14:32,2023-07-28 02:23:32,9.0
'16011,"('Apgar_campground',)",525.0,2023-07-30 20:50:07,2023-07-30 20:58:52,8.75
'16021,"('Apgar_VC_parking',)",1080.0,2023-07-30 16:01:40,2023-07-30 16:19:40,18.0
'16121,"('Apgar_campground', 'Apgar_village')",900.0,2023-07-30 15:46:20,2023-07-30 16:58:35,72.25
'16171,"('Apgar_VC_parking', 'Apgar_campground', 'Apgar_village')",62202.0,2023-07-30 17:36:30,2023-07-31 11:02:42,1046.2
'16181,"('Apgar_VC', 'Apgar_campground', 'Apgar_village')",22770.0,2023-07-31 21:15:34,2023-08-01 06:02:04,526.5
'16221,"('Apgar_VC_parking', 'Apgar_campground')",2805.0,2023-07-30 16:59:00,2023-07-30 21:42:15,283.25
'16291,"('Apgar_village',)",2535.0,2023-07-30 16:19:35,2023-07-30 17:06:50,47.25
'16311,"('Apgar_VC', 'Apgar_VC_parking')",405.0,2023-07-30 17:12:24,2023-07-30 17:26:09,13.75
'16321,"('Apgar_campground',)",315.0,2023-07-30 21:12:08,2023-07-30 21:17:23,5.25
'16351,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_campground', 'Apgar_village')",59620.0,2023-07-30 17:58:12,2023-07-31 10:55:37,1017.4166666666666
'16521,"('Apgar_VC_parking',)",600.0,2023-07-30 16:48:45,2023-07-30 16:58:45,10.0
'16531,"('Apgar_village',)",4260.0,2023-07-30 16:41:48,2023-07-30 17:52:48,71.0
'17021,"('Apgar_VC',)",10755.0,2023-07-31 18:09:06,2023-07-31 21:17:21,188.25
'17041,"('Apgar_VC',)",21540.0,2023-07-31 19:32:21,2023-08-01 06:09:36,637.25
'17321,"('Apgar_VC',)",47253.0,2023-07-31 19:41:29,2023-08-01 09:18:32,817.05
'17461,"('Apgar_VC', 'Apgar_VC_parking')",16306.0,2023-07-31 18:59:31,2023-08-01 00:13:17,313.76666666666665
'17541,"('Apgar_VC', 'Apgar_VC_parking')",34849.0,2023-07-30 17:59:18,2023-07-31 11:13:20,1034.0333333333333
'19011,"('Apgar_VC',)",3675.0,2023-08-01 09:33:35,2023-08-01 10:34:50,61.25
'19021,"('Apgar_VC_parking', 'Apgar_campground')",25125.0,2023-08-01 14:42:14,2023-08-01 21:50:29,428.25
'19041,"('Apgar_VC',)",10523.0,2023-08-01 07:48:53,2023-08-02 01:28:00,1059.1166666666666
'19181,"('Apgar_VC_parking', 'Apgar_village')",9150.0,2023-08-01 16:03:32,2023-08-01 18:38:17,154.75
'19241,"('Apgar_VC',)",419.0,2023-08-01 17:12:34,2023-08-01 17:19:33,6.983333333333333
'19331,"('Apgar_VC',)",22835.0,2023-08-01 19:49:24,2023-08-02 02:15:59,386.5833333333333
