Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Big_bend', 'Apgar_VC_parking', 'Apgar_VC')","[""'02281""]",1,[18420.0],['2023-07-05 07:53:02'],['2023-07-05 15:25:17'],[452.25]
"('Apgar_VC_parking', 'Apgar_VC', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC')","[""'02291""]",1,[32147.0],['2023-07-05 07:13:58'],['2023-07-05 23:01:26'],[947.4666666666667]
"('Loop_parking', 'Big_bend', 'Logan_pass_parking', 'Sun_point_parking', 'Shuttle_Sun_point', 'Sun_point_parking', 'Logan_pass_parking', 'Apgar_village')","[""'02301"", ""'04301""]",2,"[20400.0, 20400.0]","['2023-07-05 09:08:10', '2023-07-05 09:08:10']","['2023-07-05 15:42:10', '2023-07-05 15:42:10']","[394.0, 394.0]"
"('Baring_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_parking', 'Sun_point_parking', 'Rising_sun_boat_dock', 'Rising_sun_picnic_area', 'St_mary_VC')","[""'02321""]",1,[6323.0],['2023-07-05 09:45:33'],['2023-07-05 14:54:27'],[308.9]
"('Apgar_village', 'Loop_parking', 'Oberlin_bend', 'Logan_pass_parking', 'Lunch_creek_parking', 'Baring_falls_parking', 'Sun_point_parking', 'Rising_sun', 'St_mary_VC_parking')","[""'02331""]",1,[20115.0],['2023-07-05 08:03:37'],['2023-07-05 22:32:29'],[868.8666666666667]
"('Loop_parking', 'Shuttle_Loop', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Loop_parking')","[""'02341""]",1,[33105.0],['2023-07-05 09:04:46'],['2023-07-05 18:50:16'],[585.5]
"('Lake_macdonald_lodge', 'Logan_pass_parking', 'Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Gunsight_pass_trailhead', 'Baring_falls_parking', 'Baring_falls_trail', 'Wild_goose_island', 'St_mary_VC_parking', 'St_mary_VC')","[""'02351""]",1,[7715.0],['2023-07-05 08:42:14'],['2023-07-05 13:26:16'],[284.03333333333336]
"('Apgar_VC_parking',)","[""'02361"", ""'10361"", ""'10531""]",3,"[18930.0, 495.0, 345.0]","['2023-07-05 08:25:45', '2023-07-18 16:05:50', '2023-07-18 17:38:02']","['2023-07-05 14:10:30', '2023-07-18 16:18:43', '2023-07-18 17:43:47']","[344.75, 12.883333333333333, 5.75]"
"('Apgar_VC_parking', 'Apgar_VC', 'Apgar_VC_parking')","[""'02411""]",1,[26664.0],['2023-07-05 07:33:07'],['2023-07-05 17:59:05'],[625.9666666666667]
"('Apgar_VC_parking', 'Apgar_VC', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC_parking')","[""'02421""]",1,[19770.0],['2023-07-05 08:52:49'],['2023-07-05 15:30:34'],[397.75]
"('Apgar_village', 'Big_bend', 'Logan_pass_parking', 'Lake_macdonald_lodge')","[""'02431""]",1,[9688.0],['2023-07-05 08:54:44'],['2023-07-05 16:59:34'],[484.8333333333333]
"('Moose_country', 'Trail_of_Cedars', 'Lake_macdonald_lodge', 'Big_bend', 'Logan_pass_parking', 'Jackson_glac_overlook')","[""'02441""]",1,[22350.0],['2023-07-05 09:05:54'],['2023-07-05 17:05:24'],[479.5]
"('Logan_pass_parking', 'Lunch_creek_parking', 'Sun_point_parking', 'Rising_sun_picnic_area', 'St_mary_VC_parking')","[""'02451"", ""'05451""]",2,"[7126.0, 7126.0]","['2023-07-05 09:05:23', '2023-07-05 09:05:23']","['2023-07-05 12:04:53', '2023-07-05 12:04:53']","[179.5, 179.5]"
"('Logan_pass_parking', 'Avalanche_parking')","[""'02461""]",1,[15120.0],['2023-07-05 08:19:37'],['2023-07-05 15:27:22'],[427.75]
