Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche', 'LakeMcDonald', 'Logan', 'Waterfalls')","[""'02441"", ""'23171""]",2,"[21900.0, 24103.0]","['2023-07-05 09:17:09', '2023-08-06 09:58:35']","['2023-07-05 17:05:24', '2023-08-06 17:54:51']","[468.25, 476.26666666666665]"
"('Logan', 'RisingSun', 'StMary', 'SunPoint')","[""'02451"", ""'05451""]",2,"[6001.0, 6001.0]","['2023-07-05 09:05:23', '2023-07-05 09:05:23']","['2023-07-05 12:04:53', '2023-07-05 12:04:53']","[179.5, 179.5]"
"('Avalanche', 'Logan')","[""'02461""]",1,[15120.0],['2023-07-05 08:19:37'],['2023-07-05 15:27:22'],[427.75]
"('LakeMcDonald', 'Logan', 'SunPoint', 'Waterfalls')","[""'02471""]",1,[11071.0],['2023-07-05 08:33:35'],['2023-07-05 14:58:05'],[384.5]
"('LakeMcDonald', 'Logan', 'Loop')","[""'02481""]",1,[2192.0],['2023-07-05 08:51:24'],['2023-07-05 10:47:41'],[116.28333333333333]
(),"[""'02501"", ""'03131"", ""'07271"", ""'07321"", ""'14111"", ""'16081"", ""'16111"", ""'16421"", ""'17331"", ""'25011"", ""'25181""]",11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]"
"('Avalanche', 'Logan', 'RisingSun', 'StMary', 'SunPoint', 'Waterfalls')","[""'02551""]",1,[48269.0],['2023-07-05 09:27:54'],['2023-07-06 02:10:09'],[1002.25]
"('Logan', 'RisingSun', 'StMary', 'Waterfalls')","[""'03031""]",1,[16755.0],['2023-07-06 11:43:11'],['2023-07-06 19:01:56'],[438.75]
"('StMary',)","[""'03191"", ""'05331"", ""'05351"", ""'06351"", ""'07341"", ""'07461"", ""'09191"", ""'10231"", ""'12091"", ""'16441"", ""'20241"", ""'20431"", ""'22271""]",13,"[2190.0, 600.0, 420.0, 1590.0, 1335.0, 7065.0, 44085.0, 12929.0, 165.0, 38235.0, 22935.0, 4679.0, 520.0]","['2023-07-06 12:07:51', '2023-07-06 09:38:30', '2023-07-06 09:35:43', '2023-07-11 13:16:29', '2023-07-12 17:15:13', '2023-07-12 19:52:48', '2023-07-16 14:02:29', '2023-07-19 06:10:34', '2023-07-21 09:07:04', '2023-07-30 18:46:43', '2023-08-02 20:17:47', '2023-08-02 12:21:46', '2023-08-06 08:25:20']","['2023-07-06 12:53:36', '2023-07-06 09:48:30', '2023-07-06 09:42:43', '2023-07-11 13:42:59', '2023-07-12 17:37:28', '2023-07-12 21:50:33', '2023-07-17 02:17:14', '2023-07-19 09:46:03', '2023-07-21 09:09:49', '2023-07-31 05:23:58', '2023-08-03 05:13:01', '2023-08-02 13:44:45', '2023-08-06 08:34:00']","[45.75, 10.0, 7.0, 26.5, 22.25, 117.75, 734.75, 215.48333333333332, 2.75, 637.25, 535.2333333333333, 82.98333333333333, 8.666666666666666]"
"('RisingSun', 'SunPoint', 'Waterfalls')","[""'03411""]",1,[5444.0],['2023-07-06 12:58:01'],['2023-07-06 15:17:16'],[139.25]
"('Logan', 'RisingSun', 'SunPoint', 'Waterfalls')","[""'03471"", ""'08231""]",2,"[14781.0, 4260.0]","['2023-07-06 13:12:22', '2023-07-14 14:55:38']","['2023-07-06 18:21:28', '2023-07-14 17:49:05']","[309.1, 173.45]"
"('Apgar', 'Logan', 'Loop')","[""'0355"", ""'05231"", ""'06131"", ""'10081"", ""'16021"", ""'20081"", ""'25281""]",7,"[2738.0, 8340.0, 1710.0, 2670.0, 2100.0, 16859.0, 22980.0]","['2023-07-12 17:44:46', '2023-07-10 08:22:37', '2023-07-11 11:32:45', '2023-07-18 16:40:23', '2023-07-30 16:01:40', '2023-08-02 12:50:07', '2023-08-08 12:57:32']","['2023-07-12 20:35:09', '2023-07-10 12:45:52', '2023-07-11 13:18:15', '2023-07-18 19:52:53', '2023-07-30 17:58:55', '2023-08-03 05:19:22', '2023-08-08 20:48:47']","[170.38333333333333, 263.25, 105.5, 192.5, 117.25, 989.25, 471.25]"
"('Logan', 'RisingSun', 'SunPoint')","[""'03551"", ""'13041""]",2,"[11910.0, 6135.0]","['2023-07-06 11:28:16', '2023-07-24 11:14:03']","['2023-07-06 16:41:46', '2023-07-24 14:04:33']","[313.5, 170.5]"
"('Apgar', 'SunPoint')","[""'05011""]",1,[825.0],['2023-07-10 09:07:28'],['2023-07-10 12:07:02'],[179.56666666666666]
"('LakeMcDonald', 'Logan')","[""'05071"", ""'19161"", ""'19541""]",3,"[16995.0, 2685.0, 3090.0]","['2023-07-10 11:42:29', '2023-08-01 07:27:37', '2023-08-01 08:32:38']","['2023-07-10 18:40:29', '2023-08-01 09:09:37', '2023-08-01 10:32:08']","[418.0, 102.0, 119.5]"
"('Apgar', 'Logan')","[""'05081"", ""'05221"", ""'07161"", ""'14081"", ""'14191"", ""'14421"", ""'16011"", ""'16181"", ""'17041"", ""'25171"", ""'25391""]",11,"[9210.0, 4878.0, 1860.0, 33013.0, 5384.0, 2415.0, 1350.0, 29280.0, 29025.0, 15728.0, 4080.0]","['2023-07-10 10:24:08', '2023-07-11 11:49:01', '2023-07-12 16:44:37', '2023-07-26 17:16:51', '2023-07-26 16:35:32', '2023-07-26 17:27:46', '2023-07-30 18:43:52', '2023-07-31 17:57:49', '2023-07-31 16:06:06', '2023-08-08 10:02:01', '2023-08-08 12:36:03']","['2023-07-10 18:54:19', '2023-07-11 15:12:46', '2023-07-12 18:38:37', '2023-07-27 03:55:19', '2023-07-26 20:09:32', '2023-07-26 21:32:31', '2023-07-30 20:58:52', '2023-08-01 06:02:04', '2023-08-01 06:09:36', '2023-08-08 22:33:58', '2023-08-08 17:28:48']","[510.18333333333334, 203.75, 114.0, 638.4666666666667, 214.0, 244.75, 135.0, 724.25, 843.5, 751.95, 292.75]"
"('Avalanche', 'Logan', 'Loop')","[""'05091"", ""'06041"", ""'06421""]",3,"[2864.0, 10740.0, 24659.0]","['2023-07-10 09:05:40', '2023-07-11 11:39:04', '2023-07-11 12:12:47']","['2023-07-10 12:45:40', '2023-07-11 16:29:04', '2023-07-11 19:35:00']","[220.0, 290.0, 442.21666666666664]"
