id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12
'06451,Avalanche_parking,2023-07-11 11:51:42,2023-07-11 12:44:27,2775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06481,Avalanche_parking,2023-07-11 11:57:19,2023-07-11 16:38:34,15601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06511,Avalanche_parking,2023-07-12 18:44:44,2023-07-12 20:04:29,1530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09151,Avalanche_parking,2023-07-16 10:33:50,2023-07-16 11:19:20,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09291,Avalanche_parking,2023-07-16 09:35:14,2023-07-16 10:12:14,1876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09341,Avalanche_parking,2023-07-16 10:03:33,2023-07-16 10:25:48,1335.0,Shuttle_Avalanche,2023-07-16 10:03:33,2023-07-16 10:25:03,1185.0,Trail_of_Cedars,2023-07-16 10:33:33,2023-07-16 10:41:03,450.0,Avalanche_trail,2023-07-16 10:42:17,2023-07-16 12:55:33,7996.0,Trail_of_Cedars,2023-07-16 12:55:48,2023-07-16 13:05:48,600.0,Avalanche_parking,2023-07-16 13:07:33,2023-07-16 13:09:48,135.0,,,,,,,,,,,,,,,,,,,,,,,,
'09421,Avalanche_parking,2023-07-16 10:41:40,2023-07-16 12:18:04,5784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09471,Trail_of_Cedars,2023-07-16 11:38:50,2023-07-16 11:40:50,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09501,Avalanche_parking,2023-07-16 11:01:17,2023-07-16 11:43:56,660.0,Shuttle_Avalanche,2023-07-16 11:40:25,2023-07-16 11:43:41,196.0,Trail_of_Cedars,2023-07-16 11:45:56,2023-07-16 11:53:26,450.0,Avalanche_trail,2023-07-16 11:53:41,2023-07-16 13:50:11,6990.0,Trail_of_Cedars,2023-07-16 13:50:26,2023-07-16 14:00:56,630.0,Avalanche_parking,2023-07-16 14:04:26,2023-07-16 14:12:26,480.0,Shuttle_Avalanche,2023-07-16 14:04:26,2023-07-16 14:09:41,315.0,,,,,,,,,,,,,,,,,,,,
'11111,Avalanche_parking,2023-07-20 11:45:21,2023-07-20 11:55:21,600.0,Shuttle_Avalanche,2023-07-20 11:45:51,2023-07-20 11:54:51,540.0,Trail_of_Cedars,2023-07-20 11:57:21,2023-07-20 12:05:51,510.0,Avalanche_trail,2023-07-20 12:06:21,2023-07-20 15:16:21,11385.0,Trail_of_Cedars,2023-07-20 15:17:06,2023-07-20 15:26:36,570.0,Avalanche_parking,2023-07-20 15:29:06,2023-07-20 16:28:21,3555.0,Shuttle_Avalanche,2023-07-20 15:30:06,2023-07-20 16:26:36,3390.0,,,,,,,,,,,,,,,,,,,,
'11331,Avalanche_parking,2023-07-20 10:34:08,2023-07-20 10:50:23,975.0,Shuttle_Avalanche,2023-07-20 10:34:08,2023-07-20 10:47:53,825.0,Avalanche_parking,2023-07-20 10:50:38,2023-07-20 16:29:23,2940.0,Shuttle_Avalanche,2023-07-20 15:43:08,2023-07-20 16:26:38,2610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11411,Avalanche_parking,2023-07-20 13:22:16,2023-07-20 13:26:31,255.0,Shuttle_Avalanche,2023-07-20 13:22:16,2023-07-20 13:25:16,180.0,Avalanche_parking,2023-07-20 17:28:01,2023-07-20 17:52:31,1470.0,Shuttle_Avalanche,2023-07-20 17:28:01,2023-07-20 17:50:46,1365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
