id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7
'18131,Rising_sun_boat_dock,2023-08-01 08:33:29,2023-08-01 08:35:29,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'18151,Rising_sun_boat_dock,2023-08-01 08:33:30,2023-08-01 08:35:30,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'19311,Rising_sun_boat_dock,2023-08-01 12:50:39,2023-08-01 12:53:09,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'20021,Rising_sun_boat_dock,2023-08-02 11:07:48,2023-08-02 14:18:18,11430.0,Rising_sun_picnic_area,2023-08-02 14:20:03,2023-08-02 14:46:48,1605.0,,,,,,,,,,,,,,,,,,,,
'20201,Rising_sun_boat_dock,2023-08-02 12:34:48,2023-08-02 12:59:33,1485.0,,,,,,,,,,,,,,,,,,,,,,,,
'20391,Rising_sun_boat_dock,2023-08-02 12:21:17,2023-08-02 15:47:02,6135.0,,,,,,,,,,,,,,,,,,,,,,,,
'22021,Rising_sun_boat_dock,2023-08-06 13:22:15,2023-08-06 13:24:15,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'22121,Rising_sun_boat_dock,2023-08-06 13:49:53,2023-08-06 13:51:53,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'22411,Rising_sun_boat_dock,2023-08-06 09:47:10,2023-08-06 09:50:10,180.0,Otokomi_lake_trail,2023-08-06 09:59:10,2023-08-06 16:44:52,24342.0,Rising_sun_boat_dock,2023-08-06 16:53:07,2023-08-06 17:02:57,590.0,Shuttle_Rising_Sun,2023-08-06 16:58:52,2023-08-06 17:02:12,200.0,,,,,,,,,,,,
'22461,Rising_sun_boat_dock,2023-08-06 09:14:49,2023-08-06 17:02:32,315.0,,,,,,,,,,,,,,,,,,,,,,,,
'22531,Rising_sun_boat_dock,2023-08-06 12:44:43,2023-08-06 13:24:13,2370.0,Shuttle_Rising_Sun,2023-08-06 13:01:58,2023-08-06 13:23:43,1305.0,,,,,,,,,,,,,,,,,,,,
'25201,Rising_sun,2023-08-08 13:21:44,2023-08-08 13:47:44,1560.0,,,,,,,,,,,,,,,,,,,,,,,,
'25231,Rising_sun_boat_dock,2023-08-08 15:54:58,2023-08-08 16:01:43,390.0,,,,,,,,,,,,,,,,,,,,,,,,
